Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connection Overhead (ms),0.32,0.00,3.92,14.20,0.00,0.00,0.00,0.00,0.00,0.46,0.55,0.69,3.79,0.78
HTTP Connection Reused (ratio),0.67,0.00,1.00,30.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),200.33,2.79,976.32,9014.81,3.54,21.32,27.01,44.76,126.53,228.57,562.21,681.27,939.07,233.26
HTTP Data Sent (KB),444.78,258.03,661.65,20015.16,260.93,271.54,279.78,334.25,429.26,534.31,637.40,647.31,657.87,125.43
HTTP DNS Lookup (ms),0.07,0.00,1.68,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.34
HTTP Duration (excl. conn) (ms),16960.20,788.43,80060.39,763209.01,866.16,2240.78,2585.06,3899.36,11416.64,18893.97,46413.64,58919.05,76877.29,19215.16
HTTP Receiving (ms),16314.00,158.18,78658.22,734129.79,220.39,1684.21,2104.11,3503.53,10920.57,18403.48,45307.88,58311.01,75836.04,19091.70
HTTP Sending (ms),0.42,0.15,2.44,19.06,0.15,0.15,0.15,0.16,0.18,0.65,0.72,0.97,2.35,0.48
HTTP Total Time (ms),16960.52,788.43,80060.85,763223.21,866.16,2242.08,2585.36,3899.82,11417.24,18893.97,46413.64,58919.60,76877.55,19215.07
HTTP Waiting (TTFB) (ms),645.78,264.84,2387.05,29060.16,272.69,293.19,340.28,471.94,551.99,654.22,982.54,1352.71,2237.20,403.29
Input Sequence Length (tokens),113832.96,65822.00,169518.00,5122483.00,66538.76,69220.00,71393.80,85766.00,110249.00,136585.00,163298.40,165930.00,168545.60,32179.05
Inter Chunk Latency (ms),19.73,11.03,410.68,734129.50,18.29,19.28,19.35,19.45,19.56,19.84,20.32,20.78,21.30,3.47
Inter Token Latency (ms),19.70,19.19,20.96,886.53,19.20,19.24,19.33,19.46,19.55,19.84,20.33,20.63,20.92,0.41
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Output Token Count (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Output Token Throughput Per User (tokens/sec/user),50.78,47.71,52.10,2285.16,47.81,48.48,49.19,50.39,51.16,51.40,51.73,51.98,52.08,1.03
Prefill Throughput Per User (tokens/sec/user),208741.46,48924.38,439091.50,9393365.60,56816.38,76871.57,115855.52,149774.53,194010.86,262991.69,330405.78,350793.98,400926.08,84094.02
Request Latency (ms),16960.27,788.50,80060.46,763212.33,866.23,2240.89,2585.13,3899.43,11416.72,18894.04,46413.72,58919.12,76877.36,19215.16
Time to First Token (ms),646.29,265.11,2387.32,29082.83,273.15,295.24,340.53,472.17,552.24,654.59,983.08,1353.33,2237.69,403.26
Time to Second Token (ms),18.69,16.07,20.86,840.83,16.48,17.38,17.80,18.23,18.48,19.18,19.83,20.23,20.85,0.91
Tokens In Flight (tokens),100320.78,0.00,246660.00,,,,,,106377.00,,166269.00,168948.00,245764.00,63626.14
Usage Completion Tokens (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Usage Prompt Tokens (tokens),113832.96,65822.00,169518.00,5122483.00,66538.76,69220.00,71393.80,85766.00,110249.00,136585.00,163298.40,165930.00,168545.60,32179.05
Usage Total Tokens (tokens),114660.89,66005.00,170228.00,5159740.00,66749.48,69358.00,71547.20,86333.00,111466.00,138135.00,164710.80,167477.00,169922.64,32380.34

Metric,Value
Benchmark Duration (sec),890.37
Input Token Throughput (tokens/sec),5508.04
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),40.06
Request Count,45.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),97.37
Total Input Sequence Length (tokens),5122483.00
Total Output Sequence Length (tokens),37257.00
Total Output Tokens (tokens),37257.00
Total Token Throughput (tokens/sec),5548.10
Total Usage Completion Tokens (tokens),37257.00
Total Usage Prompt Tokens (tokens),5122483.00
Total Usage Total Tokens (tokens),5159740.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
