Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),87717.83,544.00,244672.00,6754273.00,26795.16,35419.60,36431.60,40926.00,53173.00,92630.00,230123.00,237236.00,244354.32,70979.20
Usage Total Tokens (tokens),88387.69,563.00,244778.00,6805852.00,26888.64,35527.00,36544.60,41135.00,53459.00,92893.00,232260.00,238572.20,244653.36,71686.44

Metric,Value
Benchmark Duration (sec),888.03
Input Token Throughput (tokens/sec),7504.75
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),57.31
Request Count,77.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.09
Theoretical Prefix Cache Hit (%),95.99
Total Input Sequence Length (tokens),6754273.00
Total Output Sequence Length (tokens),51579.00
Total Output Tokens (tokens),51579.00
Total Token Throughput (tokens/sec),7562.06
Total Usage Completion Tokens (tokens),51579.00
Total Usage Prompt Tokens (tokens),6754273.00
Total Usage Total Tokens (tokens),6805852.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
