Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to First Token (ms),14865.89,808.10,53824.66,386513.09,875.78,1103.47,1181.79,3069.64,5353.15,22925.77,40657.53,46302.44,52378.14,16373.65
Time to Second Token (ms),1734.87,50.66,24392.31,45106.56,51.39,59.63,80.82,84.08,98.88,121.42,2439.16,11494.42,21729.64,5292.87
Tokens In Flight (tokens),125618.91,0.00,429570.05,,,,,,80447.25,,253902.38,425397.50,428750.51,110717.69
Usage Completion Tokens (tokens),1035.92,23.00,5685.00,26934.00,23.25,31.00,73.00,208.00,382.00,784.00,3577.00,4649.25,5493.00,1528.85
Usage Prompt Cache Read Tokens (tokens),50252.31,64.00,168896.00,1306560.00,64.00,64.00,64.00,19984.00,47264.00,64880.00,97312.00,151616.00,167648.00,44506.56
Usage Prompt Tokens (tokens),63453.46,580.00,169944.00,1649790.00,644.25,7235.00,26460.50,46360.50,58092.50,79604.50,102740.00,157253.50,169775.50,40132.64
Usage Total Tokens (tokens),64489.38,604.00,170051.00,1676724.00,668.00,7317.75,26710.00,46785.25,60212.00,81206.50,103070.00,157842.50,170047.75,40188.24

Metric,Value
Benchmark Duration (sec),867.12
Input Token Throughput (tokens/sec),1755.09
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.65
Overall Usage Prompt Cache Read % (%),79.20
Request Count,26.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.03
Theoretical Prefix Cache Hit (%),82.88
Total Input Sequence Length (tokens),1649790.00
Total Output Sequence Length (tokens),26934.00
Total Output Tokens (tokens),26934.00
Total Token Throughput (tokens/sec),1783.75
Total Usage Completion Tokens (tokens),26934.00
Total Usage Prompt Cache Read Tokens (tokens),1306560.00
Total Usage Prompt Tokens (tokens),1649790.00
Total Usage Total Tokens (tokens),1676724.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
