Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to First Output Token (ms),23502.43,4893.65,52829.44,376038.81,5015.18,5501.28,5704.03,9024.15,23509.18,32272.23,45829.07,51106.18,52484.79,15407.16
Time to First Token (ms),7041.64,665.92,38757.68,450664.99,691.48,819.35,1276.40,1988.66,3944.59,9193.41,13792.02,19340.34,37110.61,7855.22
Time to Second Token (ms),158.13,6.89,3269.13,10120.20,7.03,7.44,66.95,115.13,117.65,122.30,126.74,133.37,1296.38,393.27
Tokens In Flight (tokens),206222.13,0.00,365014.98,,,,,,232208.57,,330138.75,350654.02,364241.09,113154.09
Usage Completion Tokens (tokens),387.28,2.00,5422.00,24786.00,47.99,95.15,101.60,111.75,127.00,181.25,383.00,2082.75,4323.28,919.34
Usage Prompt Cache Read Tokens (tokens),56805.00,64.00,193408.00,3635520.00,20707.84,35072.00,35072.00,37040.00,46976.00,58304.00,87872.00,98752.00,193004.80,35121.49
Usage Prompt Tokens (tokens),61835.94,35117.00,196944.00,3957500.00,35117.63,35536.15,36466.00,38850.75,49189.00,69620.50,96954.50,113444.55,196115.55,35917.24
Usage Total Tokens (tokens),62223.22,35235.00,199311.00,3982286.00,35237.52,35634.65,36573.00,39020.25,49310.50,71058.75,97123.00,116752.50,196992.60,36208.25

Metric,Value
Benchmark Duration (sec),785.49
Input Token Throughput (tokens/sec),4255.37
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),26.65
Overall Usage Prompt Cache Read % (%),91.86
Request Count,64.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),94.37
Total Input Sequence Length (tokens),3957500.00
Total Output Sequence Length (tokens),24786.00
Total Output Tokens (tokens),24786.00
Total Token Throughput (tokens/sec),4282.02
Total Usage Completion Tokens (tokens),24786.00
Total Usage Prompt Cache Read Tokens (tokens),3635520.00
Total Usage Prompt Tokens (tokens),3957500.00
Total Usage Total Tokens (tokens),3982286.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
