Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,576.42,3.00,1961.00,10952.00,16.14,68.70,94.40,141.50,422.00,658.00,1633.00,1946.60,1958.12,597.77
HTTP Chunks Sent,1.00,1.00,1.00,19.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.69,0.00,5.66,13.20,0.00,0.00,0.00,0.00,0.00,0.64,1.74,3.53,5.23,1.41
HTTP Connection Overhead (ms),0.69,0.00,5.66,13.20,0.00,0.00,0.00,0.00,0.00,0.64,1.74,3.53,5.23,1.41
HTTP Connection Reused (ratio),0.63,0.00,1.00,12.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),173.62,2.79,586.53,3298.82,6.44,21.03,28.07,43.44,126.29,197.69,486.66,584.35,586.09,178.55
HTTP Data Sent (KB),505.53,258.03,638.88,9605.09,282.11,378.41,399.72,432.45,525.39,582.38,631.01,635.54,638.22,100.07
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),24264.49,9599.27,60296.64,461025.27,9873.34,10969.60,11377.62,13683.55,20898.01,27407.32,49457.47,55737.02,59384.72,14904.73
HTTP Receiving (ms),13935.77,156.68,47442.09,264779.61,452.89,1637.74,2287.18,3420.46,10200.70,15959.31,39142.00,46865.18,47326.71,14416.69
HTTP Sending (ms),1.09,0.10,7.02,20.63,0.10,0.10,0.11,0.19,0.35,0.88,2.85,4.42,6.50,1.71
HTTP Total Time (ms),24265.18,9600.63,60296.64,461038.47,9874.45,10969.73,11378.12,13683.88,20903.67,27407.32,49457.58,55737.52,59384.82,14904.46
HTTP Waiting (TTFB) (ms),10327.63,6081.28,13110.55,196225.04,6503.79,8193.80,8517.53,8899.47,10645.02,11717.42,12689.11,12879.95,13064.43,1838.36
Input Sequence Length (tokens),129225.84,65825.00,163722.00,2455291.00,72005.48,96727.40,102135.40,110263.00,134215.00,149077.50,161561.40,162768.90,163531.38,25738.92
Inter Chunk Latency (ms),19.46,0.00,237.81,264779.28,0.00,0.00,0.00,0.47,19.05,19.86,22.64,32.40,166.16,29.39
Inter Token Latency (ms),19.45,18.89,20.41,369.63,18.90,18.90,19.13,19.31,19.46,19.59,19.62,19.71,20.27,0.31
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),717.21,9.00,2429.00,13627.00,24.12,84.60,113.80,177.50,521.00,817.00,2015.00,2420.00,2427.20,740.24
Output Token Count (tokens),717.21,9.00,2429.00,13627.00,24.12,84.60,113.80,177.50,521.00,817.00,2015.00,2420.00,2427.20,740.24
Output Token Throughput Per User (tokens/sec/user),51.42,49.00,52.92,976.91,49.34,50.73,50.96,51.06,51.39,51.78,52.26,52.92,52.92,0.81
Prefill Throughput Per User (tokens/sec/user),12451.23,10819.09,12934.45,236573.39,11010.47,11776.00,11965.04,12328.07,12620.05,12718.63,12850.16,12915.57,12930.68,480.71
Request Latency (ms),24264.63,9599.56,60296.77,461027.98,9873.60,10969.75,11377.77,13683.60,20898.08,27407.46,49457.59,55737.12,59384.84,14904.71
Time to First Token (ms),10328.88,6084.15,13115.10,196248.70,6506.30,8194.89,8517.93,8900.48,10645.54,11717.98,12689.32,12880.74,13068.23,1838.14
Time to Second Token (ms),32.92,0.00,167.87,625.54,0.00,0.00,0.00,12.65,17.83,19.66,98.96,157.70,165.84,47.72
Tokens In Flight (tokens),66787.79,0.00,166141.00,,,,,,0.00,,161661.00,163766.00,165664.00,69654.10
Usage Completion Tokens (tokens),717.21,9.00,2429.00,13627.00,24.12,84.60,113.80,177.50,521.00,817.00,2015.00,2420.00,2427.20,740.24
Usage Prompt Tokens (tokens),129225.84,65825.00,163722.00,2455291.00,72005.48,96727.40,102135.40,110263.00,134215.00,149077.50,161561.40,162768.90,163531.38,25738.92
Usage Total Tokens (tokens),129943.05,66008.00,166141.00,2468918.00,72592.76,98931.80,102742.00,110771.00,134823.00,149577.50,162604.00,163094.50,165531.70,25895.82

Metric,Value
Benchmark Duration (sec),548.77
Completed Requests (Success + Error),226.00
Context Overflow Count,0.00
Error Request Count,207.00
Input Token Throughput (tokens/sec),2640.07
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),14.65
Request Count,19.00
Request Error Rate (%),91.59
Request Throughput (requests/sec),0.02
Theoretical Prefix Cache Hit (%),96.75
Total Input Sequence Length (tokens),2455291.00
Total Output Sequence Length (tokens),13627.00
Total Output Tokens (tokens),13627.00
Total Token Throughput (tokens/sec),2654.72
Total Usage Completion Tokens (tokens),13627.00
Total Usage Prompt Tokens (tokens),2455291.00
Total Usage Total Tokens (tokens),2468918.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
