Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Chunks Received,901.60,24.00,4045.00,45080.00,37.72,85.95,142.40,242.25,553.50,918.00,2626.40,3396.95,3873.01,1043.84
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,2.13,9.59,0.00,0.00,0.00,0.00,0.00,0.40,0.54,0.63,1.74,0.39
HTTP Connection Overhead (ms),0.24,0.00,3.81,12.20,0.00,0.00,0.00,0.00,0.00,0.40,0.54,0.63,3.06,0.63
HTTP Connection Reused (ratio),0.70,0.00,1.00,35.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),218.10,6.41,976.32,10904.90,9.72,21.35,34.97,59.06,134.13,222.05,634.14,820.00,934.84,251.79
HTTP Data Sent (KB),355.93,2.65,534.31,17796.55,67.26,134.72,248.42,278.04,389.19,438.59,473.30,517.73,531.75,114.79
HTTP DNS Lookup (ms),0.05,0.00,1.69,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.27
HTTP Duration (excl. conn) (ms),19277.91,625.14,80215.94,963895.59,972.61,2105.19,3171.56,5220.77,11713.98,18533.64,60363.43,73324.55,78548.21,22077.93
HTTP Receiving (ms),18324.12,414.69,78796.12,916206.10,700.74,1647.59,2737.30,4681.04,11062.50,17886.39,57106.54,72398.51,76067.56,21683.62
HTTP Sending (ms),0.34,0.11,2.29,16.89,0.11,0.12,0.12,0.13,0.14,0.55,0.70,0.85,1.89,0.39
HTTP Total Time (ms),19278.16,625.14,80216.37,963907.80,972.82,2107.53,3171.56,5221.09,11714.19,18533.76,60363.43,73324.55,78548.43,22077.83
HTTP Waiting (TTFB) (ms),953.45,210.34,4775.22,47672.59,247.04,310.55,334.22,444.70,553.61,797.29,2268.18,3263.42,4191.84,966.50
Input Sequence Length (tokens),91149.58,741.00,136587.00,4557479.00,17505.37,34983.25,63278.30,70922.25,99686.50,112679.75,121465.60,132243.75,135912.27,29363.65
Inter Chunk Latency (ms),20.35,3.25,1534.58,916205.86,18.37,19.18,19.25,19.40,19.53,19.93,20.73,20.87,21.38,25.26
Inter Token Latency (ms),19.94,18.03,26.36,996.95,18.57,19.21,19.23,19.34,19.51,19.59,21.44,23.23,26.34,1.57
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),901.60,24.00,4045.00,45080.00,37.72,85.95,142.40,242.25,553.50,918.00,2626.40,3396.95,3873.01,1043.84
Output Token Count (tokens),901.60,24.00,4045.00,45080.00,37.72,85.95,142.40,242.25,553.50,918.00,2626.40,3396.95,3873.01,1043.84
Output Token Throughput Per User (tokens/sec/user),50.41,37.94,55.46,2520.36,37.97,43.11,46.64,51.06,51.25,51.70,52.01,52.05,53.90,3.24
Prefill Throughput Per User (tokens/sec/user),159255.47,3520.26,360699.96,7962773.34,7268.39,12831.73,20354.14,111162.48,168136.41,216462.23,286385.17,331832.07,356453.86,93207.67
Request Latency (ms),19277.97,625.18,80216.01,963898.55,972.66,2105.25,3171.63,5220.83,11714.03,18533.69,60363.48,73324.61,78548.27,22077.93
Time to First Token (ms),953.85,210.50,4775.38,47692.69,247.58,310.75,334.80,444.91,553.80,797.76,2268.45,3263.81,4192.02,966.48
Time to Second Token (ms),17.70,8.33,19.54,884.99,10.89,14.18,15.08,17.67,18.35,18.72,18.95,19.13,19.49,1.91
Tokens In Flight (tokens),94220.76,0.00,282104.00,,,,,,101089.00,,137553.00,198101.00,280311.00,59014.17
Usage Completion Tokens (tokens),901.60,24.00,4045.00,45080.00,37.72,85.95,142.40,242.25,553.50,918.00,2626.40,3396.95,3873.01,1043.84
Usage Prompt Tokens (tokens),91149.58,741.00,136587.00,4557479.00,17505.37,34983.25,63278.30,70922.25,99686.50,112679.75,121465.60,132243.75,135912.27,29363.65
Usage Total Tokens (tokens),92051.18,765.00,138501.00,4602559.00,17723.41,35531.75,63850.60,71527.00,102107.00,113307.25,121589.40,132712.25,136946.72,29388.88

Metric,Value
Benchmark Duration (sec),919.46
Input Token Throughput (tokens/sec),4903.32
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),48.50
Request Count,50.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),93.08
Total Input Sequence Length (tokens),4557479.00
Total Output Sequence Length (tokens),45080.00
Total Output Tokens (tokens),45080.00
Total Token Throughput (tokens/sec),4951.82
Total Usage Completion Tokens (tokens),45080.00
Total Usage Prompt Tokens (tokens),4557479.00
Total Usage Total Tokens (tokens),4602559.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
