Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP DNS Lookup (ms),0.12,0.00,1.95,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.64,0.40
HTTP Duration (excl. conn) (ms),30709.10,3551.62,153595.02,1044109.57,3689.99,3999.34,6095.42,7682.33,14281.19,36818.18,66521.57,130649.66,153419.31,38565.32
HTTP Receiving (ms),18789.06,472.09,107717.63,638828.14,644.55,1797.74,2296.51,4691.65,7303.19,19971.66,52712.02,84179.08,102752.84,26427.33
HTTP Sending (ms),0.40,0.09,2.48,13.47,0.10,0.13,0.13,0.14,0.14,0.55,0.79,1.62,2.20,0.53
HTTP Total Time (ms),30709.47,3552.05,153595.02,1044121.95,3690.28,3999.34,6095.42,7682.33,14281.19,36819.25,66522.01,130651.26,153419.31,38565.50
HTTP Waiting (TTFB) (ms),11919.65,643.20,73989.34,405267.96,685.39,855.28,1010.04,1481.31,5676.31,9845.47,30442.30,60963.92,70042.93,18137.89
Input Sequence Length (tokens),59882.59,3971.00,169943.00,2036008.00,8445.47,17613.85,17933.60,19162.00,34168.50,78836.25,161092.00,163973.45,169720.58,56373.71
Inter Chunk Latency (ms),91.61,0.00,55349.32,638828.12,56.47,57.47,57.82,58.43,59.21,93.24,129.43,133.02,142.00,701.20
Inter Token Latency (ms),71.84,19.50,645.55,2442.40,19.84,21.45,22.84,30.50,52.76,64.37,109.22,165.42,487.38,105.79
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),465.35,24.00,4910.00,15822.00,33.24,57.85,72.20,86.50,100.00,374.50,747.70,2220.55,4171.13,945.20
Output Token Count (tokens),465.35,24.00,4910.00,15822.00,33.24,57.85,72.20,86.50,100.00,374.50,747.70,2220.55,4171.13,945.20
Output Token Throughput Per User (tokens/sec/user),24.25,1.55,51.27,824.47,3.02,6.05,9.27,15.54,18.97,32.79,43.80,46.67,50.43,13.05
Prefill Throughput Per User (tokens/sec/user),15175.20,430.97,128594.15,515956.63,654.82,1164.31,1297.55,3022.88,11952.75,19011.20,26742.52,34548.32,98742.21,21942.90
Request Latency (ms),30709.17,3551.69,153595.08,1044111.78,3690.06,3999.40,6095.49,7682.39,14281.26,36818.24,66521.65,130649.72,153419.37,38565.32
Time to First Output Token (ms),37669.39,10606.56,82328.89,301355.09,10725.45,11201.00,11795.44,19737.58,31636.36,47090.44,74930.24,78629.57,81589.02,24656.54
Time to First Token (ms),11920.11,643.40,73989.56,405283.65,685.59,855.49,1010.24,1481.52,5677.68,9845.67,30442.52,60964.29,70043.30,18137.87
Time to Second Token (ms),1957.70,47.62,55349.32,66561.89,47.86,48.78,49.86,84.22,116.58,126.22,272.33,2835.15,39557.14,9377.64
Tokens In Flight (tokens),109614.97,0.00,329681.24,,,,,,88478.00,,322145.00,322145.00,329163.47,93226.82
Usage Completion Tokens (tokens),465.35,24.00,4910.00,15822.00,33.24,57.85,72.20,86.50,100.00,374.50,747.70,2220.55,4171.13,945.20
Usage Prompt Cache Read Tokens (tokens),46823.53,64.00,168896.00,1592000.00,64.00,64.00,2521.60,17600.00,19328.00,43248.00,153164.80,160576.00,167248.64,52507.11
Usage Prompt Tokens (tokens),59882.59,3971.00,169943.00,2036008.00,8445.47,17613.85,17933.60,19162.00,34168.50,78836.25,161092.00,163973.45,169720.58,56373.71
Usage Total Tokens (tokens),60347.94,3995.00,170050.00,2051830.00,8503.13,17751.55,18041.40,19236.50,34378.50,80480.25,161212.40,165956.95,170045.71,56796.71

Metric,Value
Benchmark Duration (sec),896.34
Input Token Throughput (tokens/sec),2189.25
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),17.01
Overall Usage Prompt Cache Read % (%),78.19
Request Count,34.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.04
Theoretical Prefix Cache Hit (%),85.24
Total Input Sequence Length (tokens),2036008.00
Total Output Sequence Length (tokens),15822.00
Total Output Tokens (tokens),15822.00
Total Token Throughput (tokens/sec),2206.27
Total Usage Completion Tokens (tokens),15822.00
Total Usage Prompt Cache Read Tokens (tokens),1592000.00
Total Usage Prompt Tokens (tokens),2036008.00
Total Usage Total Tokens (tokens),2051830.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
