Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Output Sequence Length (tokens),269.85,23.00,3308.00,19969.00,44.17,72.30,82.90,101.25,128.00,199.00,491.20,708.85,2878.03,490.65
Output Token Count (tokens),269.85,23.00,3308.00,19969.00,44.17,72.30,82.90,101.25,128.00,199.00,491.20,708.85,2878.03,490.65
Output Token Throughput Per User (tokens/sec/user),15.70,1.48,45.59,1162.08,1.61,3.93,5.37,8.54,15.04,18.67,24.83,40.60,44.70,9.52
Prefill Throughput Per User (tokens/sec/user),16580.65,542.38,77592.97,1226967.76,566.87,980.27,1597.38,4065.17,10977.77,23282.64,38073.97,46775.23,76105.44,17170.14
Request Latency (ms),37248.09,2351.33,489933.46,2756358.62,2977.13,5992.40,6814.92,10547.28,16447.89,28934.80,74558.19,104859.38,399580.38,71099.43
Time to First Output Token (ms),37171.38,6055.84,149203.56,520399.34,6315.53,7354.29,8617.60,13060.68,19394.28,48025.22,77242.61,103039.21,139970.69,38611.87
Time to First Token (ms),8924.62,561.25,53378.42,660421.71,610.38,819.30,1020.05,1962.87,4265.34,10352.72,27444.65,29824.08,47995.44,10943.84
Time to Second Token (ms),796.49,8.54,24774.47,58940.51,39.05,51.10,84.50,113.02,123.55,132.62,156.05,1908.64,16396.24,3337.67
Tokens In Flight (tokens),157999.82,0.00,335872.36,,,,,,151421.52,,296080.37,300142.74,333524.90,94756.51
Usage Completion Tokens (tokens),269.85,23.00,3308.00,19969.00,44.17,72.30,82.90,101.25,128.00,199.00,491.20,708.85,2878.03,490.65
Usage Prompt Cache Read Tokens (tokens),44908.11,64.00,168896.00,3323200.00,64.00,64.00,17472.00,19328.00,44320.00,60928.00,72972.80,76032.00,165251.84,31085.60
Usage Prompt Tokens (tokens),51614.97,838.00,169942.00,3819508.00,13022.43,17989.30,18937.20,30095.25,53465.00,63792.50,74632.40,78657.50,169449.98,28857.98
Usage Total Tokens (tokens),51884.82,861.00,170049.00,3839477.00,13120.62,18106.20,19029.70,30186.50,53927.50,63982.00,74743.80,78786.55,170039.51,28889.86

Metric,Value
Benchmark Duration (sec),915.30
Input Token Throughput (tokens/sec),4063.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),21.24
Overall Usage Prompt Cache Read % (%),87.01
Request Count,74.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.08
Theoretical Prefix Cache Hit (%),90.72
Total Input Sequence Length (tokens),3819508.00
Total Output Sequence Length (tokens),19969.00
Total Output Tokens (tokens),19969.00
Total Token Throughput (tokens/sec),4084.55
Total Usage Completion Tokens (tokens),19969.00
Total Usage Prompt Cache Read Tokens (tokens),3323200.00
Total Usage Prompt Tokens (tokens),3819508.00
Total Usage Total Tokens (tokens),3839477.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
