Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Metric,Value
Benchmark Duration (sec),785.33
Input Token Throughput (tokens/sec),6223.84
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),45.78
Request Count,72.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.08
Theoretical Prefix Cache Hit (%),95.45
Total Input Sequence Length (tokens),5788181.00
Total Output Sequence Length (tokens),42580.00
Total Output Tokens (tokens),42580.00
Total Token Throughput (tokens/sec),6269.62
Total Usage Completion Tokens (tokens),42580.00
Total Usage Prompt Tokens (tokens),5788181.00
Total Usage Total Tokens (tokens),5830761.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
