Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),885.47,24.00,4045.00,33648.00,34.36,69.00,132.40,202.50,548.50,918.00,2711.20,3362.50,3915.13,1050.05
Output Token Count (tokens),885.47,24.00,4045.00,33648.00,34.36,69.00,132.40,202.50,548.50,918.00,2711.20,3362.50,3915.13,1050.05
Output Token Throughput Per User (tokens/sec/user),49.10,23.94,53.93,1865.84,25.07,27.11,40.55,51.43,51.90,52.44,52.64,52.91,53.82,7.55
Prefill Throughput Per User (tokens/sec/user),11439.21,2288.57,12866.10,434690.09,4630.82,8625.58,10134.83,11275.27,11846.14,12460.97,12649.72,12763.08,12830.23,1831.51
Request Latency (ms),26154.37,815.69,93553.92,993866.08,3533.43,8670.71,9613.29,11391.59,17638.50,26699.78,68136.96,83047.49,90798.85,23399.18
Time to First Token (ms),7087.71,322.91,9761.23,269333.07,1660.42,4037.62,5045.91,6150.44,6770.46,8772.53,9389.70,9583.24,9727.31,1965.60
Time to Second Token (ms),16.10,0.00,167.18,611.98,0.00,0.00,0.00,1.02,16.90,18.20,21.49,25.47,117.28,26.38
Tokens In Flight (tokens),94390.35,0.00,258064.00,,,,,,100499.00,,121334.00,222725.00,226439.00,50827.09
Usage Completion Tokens (tokens),885.47,24.00,4045.00,33648.00,34.36,69.00,132.40,202.50,548.50,918.00,2711.20,3362.50,3915.13,1050.05
Usage Prompt Tokens (tokens),84141.61,739.00,121334.00,3197381.00,13397.81,34952.00,55437.40,68942.00,81397.00,109521.25,118302.20,120460.30,121262.96,27965.39
Usage Total Tokens (tokens),85027.08,763.00,121406.00,3231029.00,13568.33,35477.40,55778.60,70570.75,81825.50,110670.25,119130.30,121148.95,121327.56,28135.31

Metric,Value
Benchmark Duration (sec),919.98
Input Token Throughput (tokens/sec),3437.93
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),36.18
Request Count,38.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.04
Theoretical Prefix Cache Hit (%),92.40
Total Input Sequence Length (tokens),3197381.00
Total Output Sequence Length (tokens),33648.00
Total Output Tokens (tokens),33648.00
Total Token Throughput (tokens/sec),3474.11
Total Usage Completion Tokens (tokens),33648.00
Total Usage Prompt Tokens (tokens),3197381.00
Total Usage Total Tokens (tokens),3231029.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
