Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),954.48,9.00,3473.00,25771.00,12.90,32.40,92.20,245.50,554.00,1065.00,2753.60,3215.20,3429.06,1045.07
Usage Prompt Cache Read Tokens (tokens),83811.56,64.00,152960.00,2262912.00,64.00,64.00,19724.80,34976.00,100096.00,122624.00,135731.20,136576.00,148700.16,46680.97
Usage Prompt Tokens (tokens),96757.81,772.00,160779.00,2612461.00,9668.42,34989.60,35028.80,66761.50,104673.00,132070.50,138239.00,153334.40,160487.02,41212.52
Usage Total Tokens (tokens),97712.30,796.00,161300.00,2638232.00,9795.38,35446.80,35578.80,68797.00,104914.00,132523.50,138564.80,154030.80,161130.22,41017.95

Metric,Value
Benchmark Duration (sec),905.19
Input Token Throughput (tokens/sec),2854.55
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.16
Overall Usage Prompt Cache Read % (%),86.62
Request Count,27.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.03
Theoretical Prefix Cache Hit (%),89.09
Total Input Sequence Length (tokens),2612461.00
Total Output Sequence Length (tokens),25771.00
Total Output Tokens (tokens),25771.00
Total Token Throughput (tokens/sec),2882.71
Total Usage Completion Tokens (tokens),25771.00
Total Usage Prompt Cache Read Tokens (tokens),2262912.00
Total Usage Prompt Tokens (tokens),2612461.00
Total Usage Total Tokens (tokens),2638232.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
